legacy_name,menu_found,menu_id,menu_path,match_method,behavior_tested
Outflow valve stuck,True,M019,ATA 21 - Air Conditioning → Outflow valve stuck,normalized_exact_label_or_group_label,False
PHC 1,True,M269,ATA 30 - Ice and rain protection → PHC → 1,normalized_exact_label_or_group_label,False
PHC 2,True,M270,ATA 30 - Ice and rain protection → PHC → 2,normalized_exact_label_or_group_label,False
PHC 3,True,M271,ATA 30 - Ice and rain protection → PHC → 3,normalized_exact_label_or_group_label,False
PTU Fault,True,M142,ATA 29 - Hydraulic power → PTU Fault,normalized_exact_label_or_group_label,False
Pack 1 flow control valve,True,M236,ATA 36 - Pneumatic → Pack valves → Pack 1 Flow Control Valve,normalized_exact_label_or_group_label,False
Pack 1 overheat,True,M003,ATA 21 - Air Conditioning → Overheat → Pack 1,reviewed_group_label_alias,False
Pack 1 regulator fault,True,M005,ATA 21 - Air Conditioning → Regulator fault → Pack 1,reviewed_group_label_alias,False
Pack 2 flow control valve,True,M237,ATA 36 - Pneumatic → Pack valves → Pack 2 Flow Control Valve,normalized_exact_label_or_group_label,False
Pack 2 overheat,True,M004,ATA 21 - Air Conditioning → Overheat → Pack 2,reviewed_group_label_alias,False
Pack 2 regulator fault,True,M006,ATA 21 - Air Conditioning → Regulator fault → Pack 2,reviewed_group_label_alias,False
Pitot heat Capt,True,M260,ATA 30 - Ice and rain protection → Pitot Heat → Capt,normalized_exact_label_or_group_label,False
Pitot heat F/O,True,M261,ATA 30 - Ice and rain protection → Pitot Heat → F/o,normalized_exact_label_or_group_label,False
Pitot heat STBY,True,M262,ATA 30 - Ice and rain protection → Pitot Heat → Stby,normalized_exact_label_or_group_label,False
Radio altimeter 1,True,M217,ATA 34 - Navigation → Radio altimeter → 1,normalized_exact_label_or_group_label,False
Radio altimeter 2,True,M218,ATA 34 - Navigation → Radio altimeter → 2,normalized_exact_label_or_group_label,False
Ram air valve,True,M226,ATA 36 - Pneumatic → Pneumatic valves → Ram Air Valve,normalized_exact_label_or_group_label,False
Reactive W/S det channel 1,True,M033,ATA 22 - AutoFlight → Reactive W/S det → Channel 1,normalized_exact_label_or_group_label,False
Reactive W/S det channel 2,True,M034,ATA 22 - AutoFlight → Reactive W/S det → Channel 2,normalized_exact_label_or_group_label,False
Recirculation fans,True,M016,ATA 21 - Air Conditioning → Recirculation fans,normalized_exact_label_or_group_label,False
Right Static heat Capt,True,M264,ATA 30 - Ice and rain protection → Static Heat → Right  Capt,reviewed_group_label_alias,False
Right Static heat F/O,True,M266,ATA 30 - Ice and rain protection → Static Heat → Right  F/o,reviewed_group_label_alias,False
Right Static heat Stby,True,M268,ATA 30 - Ice and rain protection → Static Heat → Right  Stby,reviewed_group_label_alias,False
Right WAI Valve,True,M249,ATA 30 - Ice and rain protection → WAI Valves → Right Wai Valve,normalized_exact_label_or_group_label,False
Right reverser inhibited by maint,True,M376,ATA 70 - Power plant → Reverser inhibited by maintenance → Right Reverser Inhibited By Maint,normalized_exact_label_or_group_label,False
Right reverser pressurized,True,M372,ATA 70 - Power plant → Reverser pressurized → Right,reviewed_group_label_alias,False
Right reverser unlocked,True,M374,ATA 70 - Power plant → Reverser unlocked → Right,reviewed_group_label_alias,False
Right transfer 1,True,M113,ATA 28 - Fuel → Fuel transfer valves → Right Transfer 1,normalized_exact_label_or_group_label,False
Right transfer 2,True,M114,ATA 28 - Fuel → Fuel transfer valves → Right Transfer 2,normalized_exact_label_or_group_label,False
Rudder travel limiter channel 1,True,M029,ATA 22 - AutoFlight → Rudder travel limiter → Channel 1,normalized_exact_label_or_group_label,False
Rudder travel limiter channel 2,True,M030,ATA 22 - AutoFlight → Rudder travel limiter → Channel 2,normalized_exact_label_or_group_label,False
Rudder trim channel 1,True,M031,ATA 22 - AutoFlight → Rudder trim → Channel 1,normalized_exact_label_or_group_label,False
Rudder trim channel 2,True,M032,ATA 22 - AutoFlight → Rudder trim → Channel 2,normalized_exact_label_or_group_label,False
SDAC 1,True,M319,ATA 31 - Indicating/Recording system → SDAC → 1,normalized_exact_label_or_group_label,False
SDAC 2,True,M320,ATA 31 - Indicating/Recording system → SDAC → 2,normalized_exact_label_or_group_label,False
SDCU,True,M073,ATA 26 - Fire protection → SDCU,normalized_exact_label_or_group_label,False
SEC 1,True,M287,ATA 27 - Flight controls → Nonresettable fault → Sec 1,reviewed_group_label_alias,False
SEC 2,True,M288,ATA 27 - Flight controls → Nonresettable fault → Sec 2,reviewed_group_label_alias,False
SEC 3,True,M289,ATA 27 - Flight controls → Nonresettable fault → Sec 3,reviewed_group_label_alias,False
SFCC 1,True,M279,ATA 27 - Flight controls → SFCC → 1,normalized_exact_label_or_group_label,False
SFCC 2,True,M280,ATA 27 - Flight controls → SFCC → 2,normalized_exact_label_or_group_label,False
SFCC 2 flap sys,True,M282,ATA 27 - Flight controls → Flap → Sfcc 2  Sys,reviewed_group_label_alias,False
SFCC 2 slat sys,True,M284,ATA 27 - Flight controls → Slat → Sfcc 2  Sys,reviewed_group_label_alias,False
Start valve left,True,M309,ATA 80 - Start faults → Start valve → Left,normalized_exact_label_or_group_label,False
Start valve right,True,M310,ATA 80 - Start faults → Start valve → Right,normalized_exact_label_or_group_label,False
TAT heat Capt,True,M257,ATA 30 - Ice and rain protection → TAT Heat → Capt,normalized_exact_label_or_group_label,False
TAT heat F/O,True,M258,ATA 30 - Ice and rain protection → TAT Heat → F/o,normalized_exact_label_or_group_label,False
TAT heat STBY,True,M259,ATA 30 - Ice and rain protection → TAT Heat → Stby,normalized_exact_label_or_group_label,False
TCAS,True,M220,ATA 34 - Navigation → TCAS,normalized_exact_label_or_group_label,False
TR 1,True,M067,ATA 24 - Electrical power → TR Failure → Tr 1,normalized_exact_label_or_group_label,False
TR 2,True,M068,ATA 24 - Electrical power → TR Failure → Tr 2,normalized_exact_label_or_group_label,False
Tyre pressure left 1 low,True,M159,ATA 32 - Landing gear → Tyre pressure → Left 1 Low,normalized_exact_label_or_group_label,False
VOR 1,True,M205,ATA 34 - Navigation → Radios → Vor 1,normalized_exact_label_or_group_label,False
VOR 2,True,M206,ATA 34 - Navigation → Radios → Vor 2,normalized_exact_label_or_group_label,False
Vent extract valve,True,M024,ATA 21 - Air Conditioning → Ventilation valves → Vent Extract Valve,normalized_exact_label_or_group_label,False
Vent inlet valve,True,M023,ATA 21 - Air Conditioning → Ventilation valves → Vent Inlet Valve,normalized_exact_label_or_group_label,False
Ventilation AEVC,True,M020,ATA 21 - Air Conditioning → Ventilation → Aevc,normalized_exact_label_or_group_label,False
Ventilation blower fault,True,M021,ATA 21 - Air Conditioning → Ventilation → Blower Fault,normalized_exact_label_or_group_label,False
Ventilation extract fault,True,M022,ATA 21 - Air Conditioning → Ventilation → Extract Fault,normalized_exact_label_or_group_label,False
WHC 1,True,M252,ATA 30 - Ice and rain protection → WHC → 1,normalized_exact_label_or_group_label,False
WHC 2,True,M253,ATA 30 - Ice and rain protection → WHC → 2,normalized_exact_label_or_group_label,False
Wheel brake fault 1,True,M153,ATA 32 - Landing gear → Wheel brake fault → 1,normalized_exact_label_or_group_label,False
Wheel brake fault 2,True,M154,ATA 32 - Landing gear → Wheel brake fault → 2,normalized_exact_label_or_group_label,False
Wheel brake fault 3,True,M155,ATA 32 - Landing gear → Wheel brake fault → 3,normalized_exact_label_or_group_label,False
Wheel brake fault 4,True,M156,ATA 32 - Landing gear → Wheel brake fault → 4,normalized_exact_label_or_group_label,False
Yaw damper channel 1,True,M295,ATA 27 - Flight controls → Yaw damper → Channel 1,normalized_exact_label_or_group_label,False
Yaw damper channel 2,True,M296,ATA 27 - Flight controls → Yaw damper → Channel 2,normalized_exact_label_or_group_label,False
Yellow hydraulic leak,True,M128,ATA 29 - Hydraulic power → Hydraulic leak → Yellow,reviewed_group_label_alias,False
Zone controller primary,True,M007,ATA 21 - Air Conditioning → Zone controller → Primary,normalized_exact_label_or_group_label,False
Zone controller secondary,True,M008,ATA 21 - Air Conditioning → Zone controller → Secondary,normalized_exact_label_or_group_label,False
