name,pdf_page,match_type,menu_ids,menu_paths,behavior_verified
Eng 2 Loop B,7,normalized_exact_label_or_group_label,M088,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop B,False
Eng 2 low oil quantity,7,not_found,,,False
Eng 2 no ignition,7,reviewed_group_label_alias,M316,ATA 80 - Start faults → No ignition → Eng 2,False
Eng 2 oil temperature high,7,not_found,,,False
Eng 2 oil temperature high advisory,7,not_found,,,False
Eng 2 pump failure,7,normalized_exact_label_or_group_label,M139,ATA 29 - Hydraulic power → Engine pumps → Eng 2 Pump Failure,False
Eng 2 inextinguishable fire,7,reviewed_name_or_group_rewording,M078,ATA 26 - Fire protection → Fire unextinguishable → Eng 2 Unextinguishable Fire,False
ESS TR failure,7,reviewed_group_label_alias,M069,ATA 24 - Electrical power → TR Failure → Ess,False
F/O stuck mic,7,reviewed_name_or_group_rewording,M247,ATA 23 - Communications → Stuck mic → F/o,False
FAC 1,7,reviewed_group_label_alias,M025,ATA 22 - AutoFlight → Nonresettable fault → Fac 1,False
FAC 1 resettable fault,7,reviewed_name_or_group_rewording,M027,ATA 22 - AutoFlight → Resettable fault → Fac 1,False
FAC 2,7,reviewed_group_label_alias,M026,ATA 22 - AutoFlight → Nonresettable fault → Fac 2,False
FAC 2 resettable fault,7,reviewed_name_or_group_rewording,M028,ATA 22 - AutoFlight → Resettable fault → Fac 2,False
FADEC Left Channel A,7,normalized_exact_label_or_group_label,M357,ATA 70 - Power plant → Fadec → Left Channel A,False
FADEC Left Channel B,7,normalized_exact_label_or_group_label,M358,ATA 70 - Power plant → Fadec → Left Channel B,False
FADEC Right Channel A,7,normalized_exact_label_or_group_label,M359,ATA 70 - Power plant → Fadec → Right Channel A,False
FADEC Right Channel B,7,normalized_exact_label_or_group_label,M360,ATA 70 - Power plant → Fadec → Right Channel B,False
FCDC 1,7,normalized_exact_label_or_group_label,M303,ATA 27 - Flight controls → FCDC → 1,False
FCDC 2,7,normalized_exact_label_or_group_label,M304,ATA 27 - Flight controls → FCDC → 2,False
FCU Channel 1,7,normalized_exact_label_or_group_label,M038,ATA 22 - AutoFlight → FCU → Channel 1,False
FCU Channel 2,7,normalized_exact_label_or_group_label,M039,ATA 22 - AutoFlight → FCU → Channel 2,False
FDU 1,7,normalized_exact_label_or_group_label,M091,ATA 26 - Fire protection → FDU → 1,False
FDU 2,7,normalized_exact_label_or_group_label,M092,ATA 26 - Fire protection → FDU → 2,False
FDU 3,7,normalized_exact_label_or_group_label,M093,ATA 26 - Fire protection → FDU → 3,False
Flap locked,7,normalized_exact_label_or_group_label,M276,ATA 27 - Flight controls → Surface lock → Flap Locked,False
FMGC 1,7,normalized_exact_label_or_group_label,M202,ATA 34 - Navigation → FMGC → 1,False
FMGC 2,7,normalized_exact_label_or_group_label,M203,ATA 34 - Navigation → FMGC → 2,False
Forward avionics door,7,normalized_exact_label_or_group_label,M342,ATA 52 - Doors → Doors left → Forward Avionics Door,False
Forward cargo door,7,normalized_exact_label_or_group_label,M351,ATA 52 - Doors → Doors right → Forward Cargo Door,False
Forward entry left door,7,normalized_exact_label_or_group_label,M345,ATA 52 - Doors → Doors left → Forward Entry Left Door,False
Forward entry right door,8,normalized_exact_label_or_group_label,M349,ATA 52 - Doors → Doors right → Forward Entry Right Door,False
FQI Chan 1,8,normalized_exact_label_or_group_label,M095,ATA 28 - Fuel → FQI → Chan 1,False
FQI Chan 2,8,normalized_exact_label_or_group_label,M096,ATA 28 - Fuel → FQI → Chan 2,False
Fuel leak Center,8,normalized_exact_label_or_group_label,M121,ATA 28 - Fuel → Fuel leak → Center,False
Fuel leak Left inner,8,normalized_exact_label_or_group_label,M120,ATA 28 - Fuel → Fuel leak → Left Inner,False
Fuel leak Left outer,8,normalized_exact_label_or_group_label,M119,ATA 28 - Fuel → Fuel leak → Left Outer,False
Fuel leak Right inner,8,normalized_exact_label_or_group_label,M122,ATA 28 - Fuel → Fuel leak → Right Inner,False
Fuel leak Right outer,8,normalized_exact_label_or_group_label,M123,ATA 28 - Fuel → Fuel leak → Right Outer,False
Fuel pump center 1,8,normalized_exact_label_or_group_label,M099,ATA 28 - Fuel → Fuel pump center → 1,False
Fuel pump center 2,8,normalized_exact_label_or_group_label,M100,ATA 28 - Fuel → Fuel pump center → 2,False
Fuel pump left 1,8,normalized_exact_label_or_group_label,M097,ATA 28 - Fuel → Fuel pump left → 1,False
Fuel pump left 2,8,normalized_exact_label_or_group_label,M098,ATA 28 - Fuel → Fuel pump left → 2,False
Fuel pump right 1,8,normalized_exact_label_or_group_label,M101,ATA 28 - Fuel → Fuel pump right → 1,False
Fuel pump right 2,8,normalized_exact_label_or_group_label,M102,ATA 28 - Fuel → Fuel pump right → 2,False
FWC 1,8,normalized_exact_label_or_group_label,M321,ATA 31 - Indicating/Recording system → FWC → 1,False
FWC 2,8,normalized_exact_label_or_group_label,M322,ATA 31 - Indicating/Recording system → FWC → 2,False
Fwd cargo smoke detected,8,normalized_exact_label_or_group_label,M074,ATA 26 - Fire protection → Fwd cargo smoke detected,False
Gear locked down,8,normalized_exact_label_or_group_label,M171,ATA 32 - Landing gear → Gear failure → Gear Locked Down,False
Gear locked up,8,normalized_exact_label_or_group_label,M170,ATA 32 - Landing gear → Gear failure → Gear Locked Up,False
Gear safety valve,8,normalized_exact_label_or_group_label,M166,ATA 32 - Landing gear → Gear safety valve,False
Generator 1,8,normalized_exact_label_or_group_label,M060,ATA 24 - Electrical power → Generator → 1,False
Generator 2,8,normalized_exact_label_or_group_label,M061,ATA 24 - Electrical power → Generator → 2,False
Glideslope,8,normalized_exact_label_or_group_label,M214,ATA 34 - Navigation → ILS transmitter → Glideslope,False
GPS 1,8,normalized_exact_label_or_group_label,M215,ATA 34 - Navigation → GPS → 1,False
GPS 2,8,normalized_exact_label_or_group_label,M216,ATA 34 - Navigation → GPS → 2,False
GPWC,8,normalized_exact_label_or_group_label,M204,ATA 34 - Navigation → GPWC,False
Green hydraulic leak,8,reviewed_group_label_alias,M126,ATA 29 - Hydraulic power → Hydraulic leak → Green,False
Green low reservoir air pressure,8,normalized_exact_label_or_group_label,M132,ATA 29 - Hydraulic power → Reservoir low air pressure → Green Low Reservoir Air Pressure,False
Green reservoir overheat,8,reviewed_name_or_group_rewording,M129,ATA 29 - Hydraulic power → Reservoir overheat → Green,False
Hot air fault,8,normalized_exact_label_or_group_label,M009,ATA 21 - Air Conditioning → Hot air fault,False
Hot air valve,9,normalized_exact_label_or_group_label,M229,ATA 36 - Pneumatic → Pneumatic valves → Hot Air Valve,False
Hot air valve aft cargo,9,normalized_exact_label_or_group_label,M011,ATA 21 - Air Conditioning → Hot air valve aft cargo,False
Hot bus 1,9,normalized_exact_label_or_group_label,M047,ATA 24 - Electrical power → DC Bus Fault → Hot Bus 1,False
Hot bus 2,9,normalized_exact_label_or_group_label,M048,ATA 24 - Electrical power → DC Bus Fault → Hot Bus 2,False
Icing eng 1,9,normalized_exact_label_or_group_label,M272,ATA 30 - Ice and rain protection → Icing → Eng 1,False
Icing eng 2,9,normalized_exact_label_or_group_label,M273,ATA 30 - Ice and rain protection → Icing → Eng 2,False
IDG 1 oil low pressure,9,normalized_exact_label_or_group_label,M064,ATA 24 - Electrical power → IDG oil low pressure → Idg 1 Oil Low Pressure,False
IDG 1 oil overheat,9,normalized_exact_label_or_group_label,M062,ATA 24 - Electrical power → IDG oil ovht → Idg 1 Oil Overheat,False
IDG 2 oil low pressure,9,normalized_exact_label_or_group_label,M065,ATA 24 - Electrical power → IDG oil low pressure → Idg 2 Oil Low Pressure,False
IDG 2 oil overheat,9,normalized_exact_label_or_group_label,M063,ATA 24 - Electrical power → IDG oil ovht → Idg 2 Oil Overheat,False
ILS 1 G/S,9,normalized_exact_label_or_group_label,M210,ATA 34 - Navigation → ILS → 1 G/s,False
ILS 1 LOC,9,normalized_exact_label_or_group_label,M209,ATA 34 - Navigation → ILS → 1 Loc,False
ILS 2 G/S,9,normalized_exact_label_or_group_label,M212,ATA 34 - Navigation → ILS → 2 G/s,False
ILS 2 LOC,9,normalized_exact_label_or_group_label,M211,ATA 34 - Navigation → ILS → 2 Loc,False
Inner tank high fuel temp advisory,9,reviewed_name_or_group_rewording,M105,ATA 28 - Fuel → Fuel temp high → Inner Tank High Fuel Temp Adv,False
Inner tank high fuel temp ECAM,9,normalized_exact_label_or_group_label,M103,ATA 28 - Fuel → Fuel temp high → Inner Tank High Fuel Temp Ecam,False
Inner tank low fuel temp advisory,9,reviewed_name_or_group_rewording,M109,ATA 28 - Fuel → Fuel temp low → Inner Tank Low Fuel Temp Adv,False
Inner tank low fuel temp ECAM,9,normalized_exact_label_or_group_label,M107,ATA 28 - Fuel → Fuel temp low → Inner Tank Low Fuel Temp Ecam,False
IPPU1,9,normalized_exact_label_or_group_label,M274,ATA 27 - Flight controls → IPPU → 1,False
IPPU2,9,normalized_exact_label_or_group_label,M275,ATA 27 - Flight controls → IPPU → 2,False
IR1 alignment,9,normalized_exact_label_or_group_label,M181,ATA 34 - Navigation → IRS Alignment → Ir1 Alignment,False
IR1 bank discrepancy,9,reviewed_name_or_group_rewording,M190,ATA 34 - Navigation → Bank discrepancy → Ir1,False
IR1 heading discrepancy,9,reviewed_name_or_group_rewording,M193,ATA 34 - Navigation → Heading discrepancy → Ir1,False
IR1 IR disagree,9,reviewed_name_or_group_rewording,M196,ATA 34 - Navigation → IR Disagree → Ir1,False
IR1 IR failure,9,normalized_exact_label_or_group_label,M172,ATA 34 - Navigation → IR fault → Ir1 Ir Failure,False
IR1 pitch discrepancy,9,reviewed_name_or_group_rewording,M187,ATA 34 - Navigation → Pitch discrepancy → Ir1,False
IR1 position failure,9,normalized_exact_label_or_group_label,M175,ATA 34 - Navigation → IRS position failure → Ir1 Position Failure,False
IR2 alignment,9,normalized_exact_label_or_group_label,M182,ATA 34 - Navigation → IRS Alignment → Ir2 Alignment,False
IR2 bank discrepancy,10,reviewed_name_or_group_rewording,M191,ATA 34 - Navigation → Bank discrepancy → Ir2,False
IR2 heading discrepancy,10,reviewed_name_or_group_rewording,M194,ATA 34 - Navigation → Heading discrepancy → Ir2,False
IR2 IR Disagree,10,reviewed_name_or_group_rewording,M197,ATA 34 - Navigation → IR Disagree → Ir2,False
IR2 IR failure,10,normalized_exact_label_or_group_label,M173,ATA 34 - Navigation → IR fault → Ir2 Ir Failure,False
